question,A,B,C,D,E,answer,explanation
<p><p><b>Assertion (A):</b>  Manufacturer's quote <i>h</i> parameters of transistor </p><p><b>Reason (R):</b> <i>h</i> parameters of a transistor are easiest to measure</p></p>,Both A and R are correct and R is correct explanation for A,Both A and R are correct but R is not correct explanation for A,A is correct R is wrong,A is wrong R is correct,,A,
<p>The <i>P</i>-type substrate in a conventional <i>pn</i> Junction isolated integrated circuits should be connected to</p>,any where,a dc ground potential,the most positive potential available in the circuit,the most negative potential available in the circuit,,C,
<p>Wien bridge uses</p>,lead network,lag network,lead-lag network,Both (a) and (b),,C,
<p>Which of the following is not necessarily the advantages of a push pull amplifier?</p>,It gives more output,It removes odd a well as even harmonics,There is no effect of ripple of the power supply,It consumes least power,,B,
<p>Which of the following best represents the output impedance of an actual op-amp?</p>,10 ohm,100 ohm,10 k ohm,100 k ohm,,B,
<p>In CE amplifier</p>,input and output are in phase,phase difference between input and output is 30° to 90°,phase difference between input and output is 60° to 120°,output is inverted with respect to its input voltage,,D,
<p>The approximate value of input impedance of a common emitter amplifier with emitter resistance R<sub>e</sub> is given by</p>,<i>h</i><sub><i>ie</i></sub> + A<sub>I</sub> R<sub><i>e</i></sub>,<i>h</i><sub><i>ie</i></sub> + (<i>i</i> + <i>h</i><sub><i>fe</i></sub>) R<sub><i>e</i></sub>,<i>h</i><sub><i>ie</i></sub>,(1 + <i>h</i><sub><i>fe</i></sub>) R<sub><i>e</i></sub>,,B,
"<p>The collector voltage V<sub>C</sub> of the circuit shown in the given figure aside is approximately<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/345-729-1.png""/></p>",2 V,4.6 V,8 V,8.6 V,,B,
"<p>The symbol shown in figure represents a<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/348-790-1.png""/></p>",P-channel MOSFET,UJT with N-type base,N-channel DEMOSFET with internal zener protection,P-channel DEMOSFET with internal zener protection,,C,
<p>The phase angle of a lag circuit is</p>,between 0 and -90°,between 0 and +90°,90°,more than 90°,,B,
<p>Which of the following components is essential for a voltage multiplier circuit?</p>,Resistor,Inductor,Capacitor,Both (a) and (c),,C,
"<p>Which of the following represents the equivalent circuit of a crystal for crystal oscillator?<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/355-952-1.png""/></p>",Figure A,Figure B,Figure C,None of the above,,C,
<p>The transistor specification number 2N refers to</p>,triac,diac,junction transistor,FET with one gate,,C,
<p>Stability factor for S is given by for a fixed bias</p>,1 + β,1 - β,1/β,β - 1,,A,
"<p>In figure, the function of resistor R is<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/318-247-1.png""/></p>",to reduce ripples in the output,to improve voltage regulation,to limit the surge current,either (a) or (c),,C,
<p>The phase angle of lead circuit is</p>,between 0 and -90°,between 0 and +90°,90°,more than 90°,,B,
<p>A generator with an internal resistance of 600 Ω drives an amplifier whose input resistance is 400 Ω. The generator's open circuit voltages is 1 mV; the amplifier develops 100mV across an 8kΩ load. The power gain is</p>,125,250,1125,3125,,D,
"<p>The circuit of figure is<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/326-417-1.png""/></p>","clipper, sine wave clipped at - 2 V",clamper,"clamper, sine wave clamped at zero V","clipper, sine wave clipped at + 2 V",,B,
<p>The upper end of the d.c. load line is called the __________ point and the lower end is the __________ point.</p>,"cut off, saturation","saturation, active","saturation, cut off",active saturation,,C,
"<p>In figure output impedance of amplifier is<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/321-314-1.png""/></p>",R<sub>E</sub>,"<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/321-315-1.png""/>","<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/321-315-2.png""/>",<i>r</i><sub><i>e</i></sub> + R<sub>E</sub>,,C,
"<p>In a good voltage amplifier, its input impedance</p>",must be high compared to the resistance of the source,must be low compared to the resistance of the source,must be equal to the resistance of the source,must be half the resistance of the source,,A,
<p>A non-inverting voltage feedback amplifier is a</p>,voltage amplifier,current amplifier,current to voltage converter,voltage to current converter,,A,
<p>A Colpitt's oscillator uses</p>,a tapped inductor,an inductor and two capacitors,both (a) and (b),either (a) or (b),,C,
"<p>In every practical oscillator, the loop gain is slightly larger than unity and the amplitude of the oscillations is limited by the</p>",magnitude of the loop gain,onset if non-linearity,magnitude of gain of the amplifier,feedback transmission factor,,B,
<p>IF amplifiers for radio receivers are often tuned to</p>,456 Hz,456 kHz,3456 MHz,456 GHz,,B,
<p>In CE circuit the parameter <i>f</i><sub>12</sub> is very small.</p>,True,False,,,,A,
<p>In which amplifier circuit is gate conductance negligible?</p>,JFET amplifier,MOSFET amplifier,Both JFET and MOSFET amplifier,None of the above,,B,
"<p>In figure V<sub>CEQ</sub> for each transistor is<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/323-357-1.png""/></p>",V<sub>CC</sub>,0.5 V<sub>CC</sub>,0.75 V<sub>CC</sub>,0.25 V<sub>CC</sub>,,B,
<p>Which of the following combinations has no phase inversion of the signal?</p>,Two CE stages,CE and CC stages,Three CE stages,CE stages and emitter follower,,A,
<p>Which of the following <i>h</i> parameters is an admittance?</p>,<i>h</i><sub><i>ie</i></sub>,<i>h</i><sub><i>re</i></sub>,<i>h</i><sub><i>fe</i></sub>,<i>h</i><sub><i>oe</i></sub>,,D,
<p>The linear transistor circuits always operate in the</p>,saturation,cut off,active,inactive,,C,
"<p>In the graphical analysis of CE amplifier circuit, the intersection of base current and dc load line is called</p>",saturation point,cut off point,Q point,operating point,,C,
<p>In an amplifier circuit the emitter is at ac ground potential in a</p>,CB circuit,CC circuit,CE circuit,both CB and CE circuit,,C,
<p>An ideal op-amp has</p>,infinite input and output resistance,low input and output resistance,low input and high output resistance,infinite input resistance and zero output resistance,,D,
"<p>A class B amplifier <ol style=""list-style-type: decimal; padding-bottom:10px;""><li style=""padding-top:10px;"">is biased just at cutoff</li><li style=""padding-top:10px;"">has a high theoretical efficiency of 78.5% because its quiescent current is low</li><li style=""padding-top:10px;"">is biased at midpoint of load line</li></ol> Of the above statements</p>",2 and 3 are correct,1 alone is correct,1 and 2 are correct,2 alone is correct,,D,
"<p>In a practical oscillator, the magnitude of loop gain Aβ is kept slightly larger than unity and the amplitude of oscillations is limited by</p>",the ratio of A to β,the on set of non-linearity of amplifying device,the linearity of amplifying device,all of the above,,B,
<p><p><b>Assertion (A):</b>  Direct coupled amplifiers are rarely used</p><p><b>Reason (R):</b>  Direct coupled amplifiers suffer from the disadvantage of drift</p></p>,Both A and R are correct and R is correct explanation for A,Both A and R are correct but R is not correct explanation for A,A is correct R is wrong,A is wrong R is correct,,A,
<p>A multistage amplifier has a low pass response with three real poles at <i>s</i> = - <i>w</i><sub>1</sub> - <i>w</i><sub>2</sub> and <i>w</i><sub>3</sub>. The approximate overall bandwidth B of the amplifier will be given by</p>,B = <i>w</i><sub>1</sub> + <i>w</i><sub>2</sub> + <i>w</i><sub>3</sub>,"<img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/335-545-1.png""/>",B = (<i>w</i><sub>1</sub> + <i>w</i><sub>2</sub> + <i>w</i><sub>3</sub>)<sup>1/3</sup>,"B = <span class=""root""><i>w</i><sub>1</sub><sup>2</sup> + <i>w</i><sub>2</sub><sup>2</sup> + <i>w</i><sub>3</sub><sup>2</sup></span>",,A,
"<p>In a feedback series regular circuit, the output voltage is regulated by controlling the</p>",magnitude of the I/P voltage,gain of the feed back BJT,reference Voltage,voltage drop across the series pass transistor,,D,
<p>The transformer cores operating at microwave frequency ranges are generally made up of</p>,silicon steel,ferrites,albino,super alloy,,B,
"<p>In high frequency region, an amplifier behaves like a</p>",band pass filter,low pass filter,high pass filter,any of the above,,B,
<p>Class C operation finds application in</p>,RF power amplifiers,frequency multipliers,both (a) and (b),neither (a) nor (b),,C,
"<p>In the circuit shown in the figure<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/338-593-1.png""/></p>",only red will glow,only green will glow,both red and green will glow,none will glow,,A,
<p>In a CE amplifier circuit the load resistance is open circuited. The output voltage will</p>,increase,decrease,become zero,increase or decrease,,A,
<p>Emitter follower is in which of following configuration.</p>,common Base,common Emitter,common collector,common Base or common Emitter,,C,
<p>Saturation region of a JFET is also known as</p>,source region,analog region,pinch off region,ohmic region,,D,
<p>Which junction transistor is preferred for high input and low output impedances?</p>,Common emitter,Common base,Common collector,Any of the above,,C,
"<p>For operation of enhancement only N-channel MOSFET, value of gate voltage has to be</p>",zero,low positive,high negative,high positive,,D,
"<p>Sweep voltage generators, sweep current generators, multivibrators and blocking oscillators can be combined as<br/><img src=""/_files/images/electronics-and-communication-engineering/analog-electronics/355-950-1.png""/></p>",negative resistance oscillators,tuned base tuned collector oscillators,relaxation oscillators,L-C tuned oscillators,,C,
<p>A generator with an internal resistance of 600 Ω drives an amplifier whose input resistance is 400 Ω. The generator's open circuit voltages is 1 mV; the amplifier develops 100mV across an 8kΩ load. The voltage multiplication is</p>,25,50,125,250,,D,
